City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
251,Elizabethtown,US,77.09,scattered clouds,37.694,-85.8591,"Motel 6 Elizabethtown, KY"
252,Rincon,US,79.86,clear sky,32.296,-81.2354,Days Inn Rincon
253,Roanoke Rapids,US,77.34,clear sky,36.4615,-77.6542,Hampton Inn Roanoke Rapids
258,Puerto Madero,MX,77.2,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
264,Aswan,EG,81.77,clear sky,24.0934,32.907,Nuba Nile
267,Santa,PH,82.81,overcast clouds,17.486,120.4348,Monte Leah Beach Resort
273,Thio,NC,80.56,scattered clouds,-21.6167,166.2167,La ferme de thio
275,Eyl,SO,80.38,overcast clouds,7.9803,49.8164,Amiin Hotel
280,Santa Marta,CO,82.45,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
283,San Patricio,US,85.53,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
286,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
289,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
291,Dossor,KZ,75.69,clear sky,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
296,Cockburn Town,TC,82.54,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
297,Sola,VU,81.03,few clouds,-13.8833,167.55,Leumerus Bungalows
300,Atar,MR,87.33,clear sky,20.5169,-13.0499,Oumou Elghoura
301,Muborak,UZ,92.53,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
302,Hovd,MN,78.3,clear sky,48.0056,91.6419,Hotel Khovd
309,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
316,Meulaboh,ID,80.62,overcast clouds,4.1363,96.1285,Kost Pria
318,Manzil Salim,TN,80.85,clear sky,35.8567,8.4765,mohamed ben khlil omri
321,Ahuimanu,US,83.91,clear sky,21.4447,-157.8378,Paradise Bay Resort
334,Ulaangom,MN,79.59,scattered clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
336,Sampit,ID,84.38,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
341,Beidao,CN,79.43,scattered clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
342,Kipini,KE,77.29,broken clouds,-2.5257,40.5262,Delta Sea Mall
344,Lorengau,PG,83.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
349,Mitsamiouli,KM,75.74,clear sky,-11.3847,43.2844,Foyer ADM
351,Mareeba,AU,75.92,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
356,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
357,Port Keats,AU,80.58,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
360,Xiaolan,CN,87.1,overcast clouds,22.6731,113.2295,Crowne Plaza Zhongshan
363,Panuco,MX,82.58,clear sky,22.05,-98.1667,Hotel Plaza
364,Nanning,CN,88.25,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
365,Great Falls,US,76.59,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
366,Tura,IN,77.52,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
367,Samarai,PG,81.57,overcast clouds,-10.6167,150.6667,Nuli Sapi
368,Lampazos De Naranjo,MX,88.81,scattered clouds,27.0167,-100.5167,Bella Vista
373,Craig,US,78.75,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
375,Gorontalo,ID,87.66,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
379,Alenquer,BR,77.02,overcast clouds,-1.9417,-54.7383,Detinha Hotel
381,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
382,Nannilam,IN,84.31,overcast clouds,10.8793,79.6106,Muthumani Lodge
