City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Tynset,NO,62.2759,10.7824,58.62,95,100,6.96,overcast clouds
177,Huai Thalaeng,TH,14.997,102.6475,86.27,65,99,4.41,overcast clouds
178,Coquimbo,CL,-29.9533,-71.3436,51.53,81,0,6.91,clear sky
179,Ouadda,CF,8.0777,22.4007,66.58,97,61,1.74,broken clouds
180,Tigil,RU,57.8,158.6667,72.48,44,8,4.16,clear sky
181,Tasiilaq,GL,65.6145,-37.6368,37.56,71,10,5.39,clear sky
182,Gasa,PS,31.5,34.4667,74.62,76,0,5.46,clear sky
183,Sangar,RU,63.9242,127.4739,69.24,75,84,4.59,moderate rain
184,Nouadhibou,MR,20.931,-17.0347,69.78,78,0,21.85,clear sky
185,Ponta Delgada,PT,37.7333,-25.6667,68.5,100,75,5.75,light intensity drizzle
186,Saint-Philippe,RE,-21.3585,55.7679,67.59,69,6,5.86,clear sky
187,Ornskoldsvik,SE,63.2909,18.7153,57.69,91,18,2.77,few clouds
188,Dumai,ID,1.6833,101.45,81.84,76,99,3.31,overcast clouds
189,Bengkulu,ID,-3.8004,102.2655,80.58,71,35,1.95,scattered clouds
190,Ishigaki,JP,24.3448,124.1572,86.13,89,40,9.22,scattered clouds
191,Kaitangata,NZ,-46.2817,169.8464,45.99,90,100,4.52,overcast clouds
192,Charcas,MX,23.1333,-101.1167,64.33,64,6,21.27,clear sky
193,Atuona,PF,-9.8,-139.0333,77.58,76,33,20.56,scattered clouds
194,Anloga,GH,5.7947,0.8973,78.04,85,100,8.32,overcast clouds
195,Kangundo,KE,-1.2979,37.3471,51.62,89,52,3.04,broken clouds
196,Tromso,NO,69.6496,18.957,53.62,82,98,0.0,overcast clouds
197,Whitecourt,CA,54.1502,-115.6855,65.44,52,75,9.22,broken clouds
198,Faya,SA,18.3851,42.4509,69.91,41,92,6.15,overcast clouds
199,Chipinge,ZW,-20.1883,32.6236,47.52,94,57,4.12,broken clouds
200,Sibolga,ID,1.7427,98.7792,81.72,74,99,0.65,overcast clouds
201,Santa Maria,BR,-29.6842,-53.8069,48.49,93,100,6.08,heavy intensity rain
202,Miles City,US,46.4083,-105.8406,74.37,28,0,3.44,clear sky
203,Luderitz,NA,-26.6481,15.1594,74.17,37,0,31.0,clear sky
204,Voh,NC,-20.9667,164.7,79.07,60,19,3.58,few clouds
205,Natal,BR,-5.795,-35.2094,75.85,88,0,8.05,clear sky
206,Kupang,ID,-10.1667,123.5833,82.53,63,95,15.52,overcast clouds
